Date,Open,High,Low,Close
"2018-04-07 00:00:00",6620.41,7050.5,6611.45,6896.28
"2018-04-08 00:00:00",6896.28,7094.91,6893.19,7022.71
"2018-04-09 00:00:00",7022.71,7170.76,6616.57,6773.94
"2018-04-10 00:00:00",6773.94,6878.08,6659.51,6830.9
"2018-04-11 00:00:00",6830.9,6964.08,6807.44,6939.55
"2018-04-12 00:00:00",6939.55,8055.2,6766.37,7916.37
"2018-04-13 00:00:00",7916.37,8218.7,7755.41,7889.23
"2018-04-14 00:00:00",7889.23,8174.7,7830.98,8003.68
"2018-04-15 00:00:00",8003.68,8388.93,8003.68,8357.04
"2018-04-16 00:00:00",8357.04,8407.72,7909.14,8051.34
"2018-04-17 00:00:00",8051.34,8151.1,7834.4,7890.15
"2018-04-18 00:00:00",7890.15,8212.42,7880.34,8163.69
"2018-04-19 00:00:00",8163.69,8293.72,8104.88,8273.74
"2018-04-20 00:00:00",8273.74,8930.43,8221.25,8863.5
"2018-04-21 00:00:00",8863.5,9021.07,8615.68,8917.6
"2018-04-22 00:00:00",8917.6,9009.82,8761.88,8792.83
"2018-04-23 00:00:00",8792.83,8986.96,8775.1,8938.3
"2018-04-24 00:00:00",8938.3,9729.26,8932.16,9652.16
"2018-04-25 00:00:00",9652.16,9746.82,8733.52,8864.09
"2018-04-26 00:00:00",8864.09,9303.02,8660.87,9279
"2018-04-27 00:00:00",9279,9372.38,8911.78,8978.33
"2018-04-28 00:00:00",8978.33,9418.99,8886.56,9342.47
"2018-04-29 00:00:00",9342.47,9536.64,9182.68,9392.03
"2018-04-30 00:00:00",9392.03,9442.77,9124.61,9244.32
"2018-05-01 00:00:00",9244.32,9244.32,8842.03,9067.71
"2018-05-02 00:00:00",9067.71,9261.21,8983.63,9219.86
"2018-05-03 00:00:00",9219.86,9790.94,9162.19,9734.67
"2018-05-04 00:00:00",9734.67,9763.62,9539.99,9692.72
"2018-05-05 00:00:00",9692.72,9954.95,9675.61,9826.6
"2018-05-06 00:00:00",9826.6,9909.61,9409.23,9619.14
"2018-05-07 00:00:00",9619.14,9634.83,9188.66,9362.53
"2018-05-08 00:00:00",9362.53,9454.92,9050.35,9180.16
"2018-05-09 00:00:00",9180.16,9360.41,8975.97,9306
"2018-05-10 00:00:00",9306,9383.29,9001.87,9014.61
"2018-05-11 00:00:00",9014.61,9014.61,8350.13,8406.17
